train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
4603,JAT UDAHMPUR DMU,SVDK HOLI SPL,JAMMU TAWI,UDHAMPUR,Varanasi Jn,Shmata Vd Katra,MISMATCH,110011,ok
4604,UDHAMPUR JAMMUTAWI DMU,BSB HOLI SPL,UDHAMPUR,JAMMU TAWI,Shmata Vd Katra,Varanasi Jn,MISMATCH,1001101,ok
11017,Chalukya Express,LTT KARAIKAL EXP,MUMBAI DADAR CENTRAL,YESVANTPUR JN,Lokmanyatilak,Karaikal,MISMATCH,10,ok
11019,Konark Express,KONARK EXPRESS,MUMBAI CST,BHUBANESWAR,C Shivaji Maharaj T,Bhubaneswar New,match,1111111,ok
11020,Konark Express,KONARK EXPRESS,BHUBANESWAR,MUMBAI CST,Bhubaneswar New,Dadar,match,1111111,ok
11023,Sahyadri Express,SAHYADRI EXPRES,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,C Shivaji Maharaj T,C Sahumaharaj T Kolhapur,MISMATCH,1111111,ok
11024,Sahyadri Express,SAHYADRI EXP,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,C Sahumaharaj T Kolhapur,C Shivaji Maharaj T,MISMATCH,1111111,ok
11025,Manmad Pune Express(Via Nasik),PUNE AMI EXP,MANMAD JN,PUNE JN,Pune Jn,Amravati,MISMATCH,1111111,ok
11026,Pune Manmad Express,AMI PUNE EXP,PUNE JN,MANMAD JN,Amravati,Pune Jn,MISMATCH,1111111,ok
11027,Mumbai CST-Chennai Mail,DR SATARA EXP,MUMBAI CST,CHENNAI CENTRAL,Dadar,Satara,MISMATCH,1000101,ok
11029,Koyna Express,KOYNA EXPRESS,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,C Shivaji Maharaj T,C Sahumaharaj T Kolhapur,MISMATCH,1111111,ok
11030,Koyna Express,KOYNA EXPRESS,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,C Sahumaharaj T Kolhapur,Shivaji Nagar,MISMATCH,1111111,ok
11033,PUNE - DARBHANGA Gyan Ganga Exp,,PUNE JN,DARBHANGA JN,,,unknown,1111111,summary_parse_failed
11035,Dadar-Mysore Sharavati Express,SHARAVATI EXP,MUMBAI DADAR CENTRAL,MYSORE JN,Dadar,Mysore Jn,match,1000,ok
11036,Mysore-Dadar Sharavati Express,,MYSORE JN,MUMBAI DADAR CENTRAL,,,unknown,1111111,summary_parse_failed
11037,PUNE - GORAKHPUR Exp,PUNE BNY EXP,PUNE JN,GORAKHPUR JN,Pune Jn,Gorakhpur,match,1000,ok
11038,GORAKHPUR - PUNE Exp,GKP PUNE EXP,GORAKHPUR JN,PUNE JN,Gorakhpur,Pune Jn,match,10,ok
11039,Maharashtra Express,MAHARASHTRA EXP,C SHAHU M RAJ KOLHAPUR TERM,GONDIA JN,C Sahumaharaj T Kolhapur,Gondia Jn,match,1111111,ok
11039-Slip,Kolhapur-Gorakhpur Express Slip,,C SHAHU M RAJ KOLHAPUR TERM,GORAKHPUR JN,,,unknown,1111111,summary_parse_failed
11040,Maharashtra Express,MAHARASHTRA EXP,GONDIA JN,C SHAHU M RAJ KOLHAPUR TERM,Gondia Jn,C Sahumaharaj T Kolhapur,match,1111111,ok
11040-Slip,Gondia-Solapur Maharashtra Express Slip,,GONDIA JN,SOLAPUR JN,,,unknown,1111111,summary_parse_failed
11041,Mumbai - Chennai Express,DR SNSI EXP,MUMBAI CST,CHENNAI CENTRAL,Dadar,Sainagar Shirdi,MISMATCH,111010,ok
11043,MUMBAI LTT - MADURAI Exp,LTT MADURAI EXP,LOKMANYA TILAK TERM,MADURAI JN,Lokmanyatilak,Madurai Jn,match,100,ok
11044,MADURAI - MUMBAI LTT Exp,LOKAMANYA TT EXP,MADURAI JN,LOKMANYA TILAK TERM,Madurai Jn,Lokmanyatilak,match,10,ok
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,KOP DHN EXP,C SHAHU M RAJ KOLHAPUR TERM,DHANBAD JN,C Sahumaharaj T Kolhapur,Dhanbad Jn,match,100,ok
11047,Hubli Express,MRJ UBL EXP,MIRAJ JN,HUBLI JN,Miraj Jn,Hubballi Jn,match,1111111,ok
11048,Hubli Miraj Express,UBL MRJ EXPRESS,HUBLI JN,MIRAJ JN,Hubballi Jn,Miraj Jn,match,1111111,ok
11049,Ahmedabad-Kolhapur Express,ADI KOP EXP,AHMEDABAD JN,C SHAHU M RAJ KOLHAPUR TERM,Ahmedabad Jn,C Sahumaharaj T Kolhapur,match,1,ok
11050,Kolhapur-Ahmedabad Express,AHEMDABAD EXP,C SHAHU M RAJ KOLHAPUR TERM,AHMEDABAD JN,C Sahumaharaj T Kolhapur,Ahmedabad Jn,match,10,ok
11051,Solapur-Kolhapur Express,SUR KOP EXP,SOLAPUR JN,C SHAHU M RAJ KOLHAPUR TERM,Solapur Jn,C Sahumaharaj T Kolhapur,match,1111111,ok
11052,Kolhapur Solapur Express,KOP SOLAPUR EXP,C SHAHU M RAJ KOLHAPUR TERM,SOLAPUR JN,C Sahumaharaj T Kolhapur,Solapur Jn,match,1111111,ok
11056,GORAKHPUR - MUMBAI LTT Exp,GODAN EXPRESS,GORAKHPUR JN,LOKMANYA TILAK TERM,Gorakhpur,Lokmanyatilak,match,110101,ok
11057,Dadar Amritsar Express,CSMT ASR EXPRESS,MUMBAI DADAR CENTRAL,AMRITSAR JN,C Shivaji Maharaj T,Amritsar Jn,match,1111111,ok
11057-Slip,Dadar Amritsar Express Slip,,MUMBAI DADAR CENTRAL,Dhule,,,unknown,1111111,summary_parse_failed
11058,Amritsar Dadar Express,ASR CSMT EXP,AMRITSAR JN,MUMBAI DADAR CENTRAL,Amritsar Jn,C Shivaji Maharaj T,match,1111111,ok
11059,MUMBAI LTT - CHHAPRA Godan Exp,CHHAPRA EXPRESS,LOKMANYA TILAK TERM,CHHAPRA,Lokmanyatilak,Chhapra,match,101010,ok
11060,CHHAPRA - MUMBAI LTT Godan Exp,CPR LTT EXPRESS,CHHAPRA,LOKMANYA TILAK TERM,Chhapra,Lokmanyatilak,match,1001010,ok
11062,DARBHANGA - MUMBAI LTT Pawan Exp,JYG LTT EXP,DARBHANGA JN,LOKMANYA TILAK TERM,Jaynagar,Lokmanyatilak,match,1111111,ok
56305,Kottayam Kollam Passenger,NCJ-TVCN PASSENGER,KOTTAYAM,KOLLAM JN,Nagarcoil Jn,Thiruvananthapuram North,MISMATCH,1111111,ok
58651,Ranchi Lohardaga Passenger,,RANCHI,Lohardaga,,,unknown,1111111,summary_parse_failed
5305,Farrukhabad-KanpurAnwarganj Passenger,ANVT PUJA SPL,FARRUKHABAD,KANPUR ANWARGANJ,Chhapra,Anand Vihar Terminal,MISMATCH,1001000,ok
5697,Hill Queen Express,JPE GHY SPECIAL,LUMDING JN,Lower Haflong,Jalpaiguri Road,Guwahati,MISMATCH,1000100,ok
5698,Hill Queen Express,GHY JPE SPECIAL,Lower Haflong,LUMDING JN,Guwahati,Jalpaiguri Road,MISMATCH,1001,ok
6215,Mysore Nanjangud Town passenger,BNC SMET SPL,MYSORE JN,NANJANGUD TOWN,Bangalore Cant,Shivamogga Town,MISMATCH,10000,ok
6216,Nanjangud Town Mysore Passenger,SMET BNC SPL,NANJANGUD TOWN,MYSORE JN,Shivamogga Town,Bangalore Cant,MISMATCH,10000,ok
6228,Shimoga Mysore Express,BIDR YPR SUMRSPL,Shimoga Town,MYSORE JN,Bidar,Yasvantpur Jn,MISMATCH,100000,ok
6535,Bijapur Express,CBP-BNC MEX EMU,YESVANTPUR JN,BIJAPUR,,,unknown,1111111,summary_parse_failed
6592,Hosur-Yesvantpur Passenger,HSRA-YPR MEX EMU,Hosur,YESVANTPUR JN,,,unknown,1111111,summary_parse_failed
6837,Karaikkudi Manamadurai Passenger,SA-KRR DEMU EXP SPL,Karaikkudi Junction,MANAMADURAI JN,,,unknown,1111111,summary_parse_failed
6838,Manamadurai Karaikkudi Passenger,KRR-SA DEMU EXP SPL,MANAMADURAI JN,Karaikkudi Junction,,,unknown,1111111,summary_parse_failed
6948,Hubli Jn - Vasco Da Gama Link Express,QDN-ASR EXP SPL,HUBLI JN,VASCO DA GAMA,Qadian,Amritsar Jn,MISMATCH,1111111,ok
40005,Chennai Beach Tambaram EMU,MSB-TBM EMU LOCAL,CHENNAI BEACH,TAMBARAM,,,unknown,1111111,summary_parse_failed
55138,Shahganj Ballia Passenger,BSBS-BTT PASSENGER,SHAHGANJ JN,BALLIA,Banaras,Bhatni Jn,MISMATCH,1111111,ok
56393,Kottayam Kollam Passenger,,KOTTAYAM,KOLLAM JN,,,unknown,1111111,summary_parse_failed
24041,DELHI SARAI ROHILLA - KOTDWAR Mussoorie Exp,NBD KTW EXPRESS,NAJIBABAD JN,KOTDWARA,Najibabad Jn,Kotdwara,match,1111111,ok
7301,Mysore Shimoga Express,BZA KCG SPL,MYSORE JN,Shimoga Town,Vijayawada Jn,Kacheguda,MISMATCH,10,ok
8786,Dalli Rajhara Durg Pass,,Dalli Rajhara,DURG,,,unknown,1111111,summary_parse_failed
11015,Kushinagar Express,SHC AMRIT BHARAT,LOKMANYA TILAK TERM,GORAKHPUR JN,Lokmanyatilak,Saharsa Jn,match,100,ok
12084,Coimbatore-Mayiladuturai Jan Shatabdi,MV JAN SHATABDI,COIMBATORE JN,MAYILADUTURAI JN,,,unknown,1111111,summary_parse_failed
13401,InterCity Express,INTERCITY EXP,BHAGALPUR,DANAPUR,Bhagalpur,Danapur,match,1111111,ok
13410,InterCity Express,INTERCITY EXP,BHAGALPUR,MALDA TOWN,Kiul Jn,Malda Town,match,1111111,ok
40007,Chennai Beach Tambaram EMU(12 Car),MSB-TBM EMU LOCAL,CHENNAI BEACH,TAMBARAM,,,unknown,1111111,summary_parse_failed
56320,Coimbatore Nagercoil Passenger,KYJ-ERS PASSENGER,COIMBATORE JN,NAGERCOIL JN,Kayankulam,Ernakulam Jn,MISMATCH,1111111,ok
8785,Durg Dalli Rajhara Pass,,DURG,Dalli Rajhara,,,unknown,1111111,summary_parse_failed
9761,Surathgarh Anupgarh Passenger,BAHL- BDGM SPL,ANUPGARH,SURATGARH JN,Banihal,Budgam,MISMATCH,1111111,ok
9763,Surathgarh Anupgarh Passenger,SOG HMH SPL,ANUPGARH,SURATGARH JN,Suratgarh Jn,Hanumangarh Jn,MISMATCH,1111111,ok
10001,Satpura Express,,Balaghat Junction,JABALPUR,,,unknown,1111111,summary_parse_failed
10002,Satpura Express,,JABALPUR,Balaghat Junction,,,unknown,1111111,summary_parse_failed
10103,MUMBAI CST - MADGAON Mandovi Exp,MANDOVI EXPRESS,MUMBAI CST,MADGAON,C Shivaji Maharaj T,Madgaon,match,1111111,ok
10104,MADGAON - MUMBAI CST Mandovi Exp,MANDOVI EXPRESS,MADGAON,MUMBAI CST,Madgaon,C Shivaji Maharaj T,match,1111111,ok
10111,MUMBAI CST - MADGAON Konkan Knaya Exp,KONKAN KANYA EXP,MUMBAI CST,MADGAON,C Shivaji Maharaj T,Madgaon,match,1111111,ok
10112,MADGAON - MUMBAI CST Konkan Knaya Exp,KONKAN KANYA EXP,MADGAON,MUMBAI CST,Madgaon,C Shivaji Maharaj T,match,1111111,ok
10215,Madgaon Ernakulam Weekly Super Fast Express,MADGAON ERS EXP,MADGAON,ERNAKULAM JN,Madgaon,Ernakulam Jn,match,1,ok
10216,Ernakulam Madgaon Weekly SF Express,ERS MAO SF EXP,ERNAKULAM JN,MADGAON,Ernakulam Jn,Madgaon,match,1000000,ok
11003,DADAR - SAWANTWADI RD Rajya Rani Exp,TUTARI EXPRESS,MUMBAI DADAR CENTRAL,SAWANTWADI ROAD,Dadar,Sawantwadi Road,match,1111111,ok
11004,SAWANTWADI RD - DADAR Rajya Rani Exp,TUTARI EXPRESS,SAWANTWADI ROAD,MUMBAI DADAR CENTRAL,Sawantwadi Road,Dadar,match,1111111,ok
11007,Deccan Express,DECCAN EXPRESS,MUMBAI CST,PUNE JN,C Shivaji Maharaj T,Pune Jn,match,1111111,ok
11009,Sinhagad Express,SINHAGAD EXP,MUMBAI CST,PUNE JN,C Shivaji Maharaj T,Pune Jn,match,1111111,ok
11010,Sinhagad Express,SINHAGAD EXP,PUNE JN,MUMBAI CST,Pune Jn,C Shivaji Maharaj T,match,1111111,ok
11011,Mahalaxmi Express,CSMT DHULE EXP,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,C Shivaji Maharaj T,Dhule,MISMATCH,1111111,ok
11012,Mahalaxmi Express,DHULE CSMT EXP,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,Dhule,C Shivaji Maharaj T,MISMATCH,1111111,ok
11014,Coimbatore Mumbai LTT Express,CBE LTT EXP,COIMBATORE JN,LOKMANYA TILAK TERM,Coimbatore Jn,Lokmanyatilak,match,1111111,ok
11016,Kushinagar Express,AMRIT BHARAT EXP,GORAKHPUR JN,LOKMANYA TILAK TERM,Saharsa Jn,Lokmanyatilak,match,1,ok
11018,Chalukya Express,KIK LTT EXPRESS,YESVANTPUR JN,MUMBAI DADAR CENTRAL,Karaikal,Lokmanyatilak,MISMATCH,1000000,ok
15212,AMRITSAR - DARBHANGA Jan Nayak Exp,ASR- DBG JANNAYAK EXP,AMRITSAR JN,DARBHANGA JN,Amritsar Jn,Darbhanga Jn,match,1111111,ok
40013,Chennai Beach Tambaram EMU(12 Car),MSB-TBM EMU LOCAL,CHENNAI BEACH,TAMBARAM,,,unknown,1111111,summary_parse_failed
56304,Nagercoil Kottayam Passenger,TVC-QLN PASSENGER,NAGERCOIL JN,KOTTAYAM,Thiruvananthapuram Central,Kollam Jn,MISMATCH,1111111,ok
56386,Kottayam Ernakulam Passenger,KTYM ERS PASS,KOTTAYAM,ERNAKULAM JN,Kottayam,Ernakulam Jn,match,1111111,ok
56390,Kottayam Ernakulam Passenger,KTYM ERS PASS,KOTTAYAM,ERNAKULAM JN,Kottayam,Ernakulam Jn,match,1111111,ok
2093,Jaipur Loharu Passenger,PURI JU SPL,JAIPUR,Loharu,Puri,Jodhpur Jn,MISMATCH,10000,ok
2411,Ratangarh-Sardarshahar Passenger,ADI HWH SF SPL,Ratangarh Junction,Sardarshahr,Ahmedabad Jn,Howrah Jn,MISMATCH,10000,ok
2423,Dibrugarh Guwahati Rajdhani Express,SFG MTJ SPL,DIBRUGARH TOWN,GUWAHATI,Subedarganj (Prayagraj Jn),Mathura Jn,MISMATCH,110110,ok
2424,Guwahati Dibrugarh Rajdhani Express,MTJ SFG SPL,GUWAHATI,DIBRUGARH TOWN,Mathura Jn,Subedarganj (Prayagraj Jn),MISMATCH,110110,ok
2435,Dibrugarh Guwahati Rajdhani Express,VANDE BHARAT SPL,DIBRUGARH TOWN,GUWAHATI,Patna Jn,New Delhi,MISMATCH,1100001,ok
2436,Guwahati Dibrugarh Rajdhani Express,VANDE BHARAT SPL,GUWAHATI,DIBRUGARH TOWN,New Delhi,Patna Jn,MISMATCH,1000011,ok
2779,Vasco da Gama Bangalore Link Express,,VASCO DA GAMA,BANGALORE CITY JN,,,unknown,1111111,summary_parse_failed
3686,Delhi Gaya S,RNC GAYA EXAM SPL,OLD DELHI,GAYA JN,Ranchi,Gaya Jn,match,1110011,ok
11067-Slip,Saket Express Slip,,LOKMANYA TILAK TERM,RAE BARELI JN,,,unknown,1111111,summary_parse_failed
11108,Varanasi-Gwalior Bundelkhand Express,BUNDELKHAND EXP,VARANASI JN,GWALIOR JN,Banaras,Gwalior Jn,match,1111111,ok
11109,Jhansi-Lucknow Intercity Express,,JHANSI JN,LUCKNOW,,,unknown,1111111,summary_parse_failed
11110,Lucknow-Jhansi InterCity,JHS INTERCITY,LUCKNOW,JHANSI JN,Lucknow Ne,Virangana Lakshmibai(Jhanshi),match,1111111,ok
11123,Barauni-Gwalior Mail,GWL BJU EXPRESS,BARAUNI JN,GWALIOR JN,Gwalior Jn,Barauni Jn,MISMATCH,1111111,ok
11124,Gwalior Barauni Mail,BJU GWL MAIL,GWALIOR JN,BARAUNI JN,Barauni Jn,Gwalior Jn,MISMATCH,1111111,ok
11125,Indore Gwalior Express,RTM GWALIOR EXP,INDORE JN BG,GWALIOR JN,Ratlam Jn,Gwalior Jn,match,1011001,ok
11126,Gwalior Indore Express,,GWALIOR JN,INDORE JN BG,,,unknown,1111111,summary_parse_failed
11454,Prerna Express,PRERANA EXPRESS,NAGPUR,AHMEDABAD JN,Nagpur,Ahmedabad Jn,match,10011,ok
52071,BARI SADRI - MAVLI PASSENGER,BI MAVLI PASS M G,BARI SADRI,MAVLI JN,Bari Sadri,Mavli Jn,match,1111111,ok
11063-Slip,Chennai Salem Express Slip,,CHENNAI EGMORE,METUR DAM,,,unknown,1111111,summary_parse_failed
11065,MUMBAI LTT - DARBHANGA Pawan Exp,MYS RU EXP,LOKMANYA TILAK TERM,DARBHANGA JN,Mysore Jn,Renigunta Jn,MISMATCH,100,ok
11066,DARBHANGA - MUMBAI LTT Pawan Exp,RU MYS EXP,DARBHANGA JN,LOKMANYA TILAK TERM,Renigunta Jn,Mysore Jn,MISMATCH,10,ok
11067,MUMBAI LTT - FAIZABAD Saket Exp,SAKET EXPRESS,LOKMANYA TILAK TERM,FAIZABAD JN,Lokmanyatilak,Rae Bareli Jn,match,10010,ok
11068,FAIZABAD - MUMBAI LTT Saket Exp,,FAIZABAD JN,LOKMANYA TILAK TERM,,,unknown,1111111,summary_parse_failed
11069,Tulsi Express,,LOKMANYA TILAK TERM,ALLAHABAD JN,,,unknown,1111111,summary_parse_failed
11070,Tulsi Express,,ALLAHABAD JN,LOKMANYA TILAK TERM,,,unknown,1111111,summary_parse_failed
11071,Kamayani Express,KAMAYANI EXPRESS,LOKMANYA TILAK TERM,VARANASI JN,Lokmanyatilak,Ballia,match,1111111,ok
11072,Kamayani Express,KAMAYANI EXP,VARANASI JN,LOKMANYA TILAK TERM,Ballia,Lokmanyatilak,match,1111111,ok
11077,Jhelum Express,JHELUM EXPRESS,PUNE JN,JAMMU TAWI,Pune Jn,Jammu Tawi,match,1111111,ok
11078,Jhelum Express,JHELUM EXPRESS,JAMMU TAWI,PUNE JN,Jammu Tawi,Pune Jn,match,1111111,ok
11087,Veraval Pune Express,VERAVAL PUNE EXP,VERAVAL,PUNE JN,Veraval,Pune Jn,match,10,ok
11088,Pune Veraval Express,PUNE VRL EXP,PUNE JN,VERAVAL,Pune Jn,Veraval,match,1000,ok
11089,BHAGAT KI KOTHI - PUNE Exp,BGKT PUNE EXP,BHAGAT KI KOTHI,PUNE JN,Bhagat Ki Kothi (Jodhpur),Pune Jn,match,100000,ok
11090,PUNE - BHAGAT KI KOTHI Exp,,PUNE JN,BHAGAT KI KOTHI,,,unknown,1111111,summary_parse_failed
11091,BHUJ - PUNE Ahimsa Exp,BHUJ PUNE SPL,BHUJ,PUNE JN,Bhuj,Pune Jn,match,10000,ok
11092,PUNE - BHUJ Ahimsa Exp,PUNE BHUJ EXP,PUNE JN,BHUJ,Pune Jn,Bhuj,match,1000000,ok
11093,MUMBAI CST - VARANASI Mahanagari Exp,MAHANAGARI EXP,MUMBAI CST,VARANASI JN,C Shivaji Maharaj T,Varanasi Jn,match,1111111,ok
11094,VARANASI - MUMBAI CST Mahanagari Exp,MAHANAGARI EXP,VARANASI JN,MUMBAI CST,Varanasi Jn,Mumbai Cst,match,1111111,ok
11095,Ahimsa Express,AHIMSA EXPRESS,AHMEDABAD JN,PUNE JN,Ahmedabad Jn,Pune Jn,match,1000,ok
11096,Ahimsa Express,AHIMSA EXPRESS,PUNE JN,AHMEDABAD JN,Pune Jn,Ahmedabad Jn,match,10000,ok
11105,Pratham Swatantrata Sangram Express,PRATHAM S S EXP,KOLKATA CHITPUR,JHANSI JN,Kolkata,Virangana Lakshmibai(Jhanshi),match,1,ok
11106,Pratham Swatantrata Sangram Express,PRATHAM S SNGRM,JHANSI JN,KOLKATA CHITPUR,Virangana Lakshmibai(Jhanshi),Kolkata,match,100,ok
11266,AMBIKAPUR - JABALPUR Exp,ABKP JBP EXP,AMBIKAPUR,JABALPUR,Ambikapur,Jabalpur,match,1111111,ok
11401,Nandigram Express,PUNE SUPAUL EXP,MUMBAI CST,NAGPUR,Pune Jn,Supaul,MISMATCH,1111111,ok
11402,Nandigram Express,SOU PUNE EXP,NAGPUR,MUMBAI CST,Supaul,Pune Jn,MISMATCH,1111111,ok
11403,NAGPUR - KOLHAPUR EXP,NGP KOP EXPRESS,NAGPUR,C SHAHU M RAJ KOLHAPUR TERM,Nagpur,C Sahumaharaj T Kolhapur,match,100010,ok
11404,KOLHAPUR - NAGPUR EXP,KOP NAGPUR EXP,C SHAHU M RAJ KOLHAPUR TERM,NAGPUR,C Sahumaharaj T Kolhapur,Nagpur,match,1000100,ok
11423,Solapur - Hubli Express,PUNE SNSI EXP,SOLAPUR JN,HUBLI JN,Pune Jn,Sainagar Shirdi,MISMATCH,1111111,ok
11424,Hubli Jn - Solapur Express,SNSI PUNE EXP,HUBLI JN,SOLAPUR JN,Sainagar Shirdi,Pune Jn,MISMATCH,1111111,ok
11447,JABALPUR - KOL HOWRAH Shaktipunj Exp,SHAKTIPUNJ EXP,JABALPUR,HOWRAH JN,Jabalpur,Howrah Jn,match,1111111,ok
11448,HOWRAH - JABALPUR Shaktipunj Exp,SHAKTIPUNJ EXP,HOWRAH JN,JABALPUR,Howrah Jn,Jabalpur,match,1111111,ok
11449,JABALPUR - SHRI MATA VAISHNO DEVI KATRA Express,JBP SVDK EXP,JABALPUR,S M V D KATRA,Jabalpur,Shmata Vd Katra,match,100000,ok
11450,SHRI MATA VAISHNO DEVI KATRA - JABALPUR Express,SVDK JBP EXP,S M V D KATRA,JABALPUR,Shmata Vd Katra,Jabalpur,match,10000,ok
11451,JABALPUR - REWA Intercity Exp,,JABALPUR,REWA,,,unknown,1111111,summary_parse_failed
11452,REWA - JABALPUR Intercity Exp,,REWA,JABALPUR,,,unknown,1111111,summary_parse_failed
11453,Prerna Express,PRERANA EXPRESS,AHMEDABAD JN,NAGPUR,Ahmedabad Jn,Nagpur,match,101001,ok
11463,Somnath-Jabalpur Express,SMNH JBP EXP,SOMNATH,JABALPUR,Veraval,Jabalpur,match,111101,ok
11464,Jabalpur-Somnath Express,JBP SOMNATH EXP,JABALPUR,SOMNATH,Jabalpur,Veraval,match,111011,ok
11471,Indore-Jabalpur Overnight Express,INDB JBP EXP,INDORE JN BG,JABALPUR,Indore Jn Bg,Jabalpur,match,1111111,ok
11472,Jabalpur-Indore Express,JBP INDB EXP,JABALPUR,INDORE JN BG,Jabalpur,Indore Jn Bg,match,1111111,ok
12003,Lucknow-NewDelhi Swarn Shatabdi Express,SWARAN SHATABDI,LUCKNOW,NEW DELHI,Lucknow Ne,New Delhi,match,1111111,ok
12020,Ranchi-Howrah Shatabdi Express,SHATABDI EXP,RANCHI,HOWRAH JN,,,unknown,1111111,summary_parse_failed
12021,Barbil Janshatabdi,BBN JANSHATABDI,HOWRAH JN,Barbil,Howrah Jn,Barabil,match,1111111,ok
12022,Barbil Howrah Janshatabdi,HWH JANSHATABDI,Barbil,HOWRAH JN,Barabil,Howrah Jn,match,1111111,ok
12189,JABALPUR - DELHI H NIZAMUDDIN Mahakoshal SF Exp,MAHAKAUSHAL EXP,JABALPUR,DELHI H NIZAMUDDIN,Jabalpur,Hazrat Nizamuddin,match,1111111,ok
53030,Bhagalpur Azimganj Passenger,BGP-AZ PASSENGER,BHAGALPUR,AZIMGANJ JN,Bhagalpur,Azimganj,match,1111111,ok
56385,Ernakulam Kottayam Passenger,ERS KTYM PASS,ERNAKULAM JN,KOTTAYAM,Ernakulam Jn,Kottayam,match,1111111,ok
11465,SOMNATH - JABALPUR Exp (via Bina),SMNH JBP EXP,SOMNATH,JABALPUR,Veraval,Jabalpur,match,1000010,ok
11466,JABALPUR - SOMNATH Exp (via Bina),JBP SOMNATH EXP,JABALPUR,SOMNATH,Jabalpur,Veraval,match,1000100,ok
11702,INDORE - JABALPUR Intercity Exp,MOOK MATI EXP,INDORE JN BG,JABALPUR,Jabalpur,Raipur Jn,MISMATCH,1111111,ok
12002,New Delhi-Bhopal Shatabdi Express,SHATABDI EXPRES,NEW DELHI,BHOPAL JN,New Delhi,Rani Kamlapati(Bhopal),match,1111111,ok
12004,NewDelh-Lucknowi Swarn Shatabdi Express,SHATABDI EXPRESS,NEW DELHI,LUCKNOW,New Delhi,Lucknow Ne,match,1111111,ok
12005,New Delhi-Kalka Shatabdi,KALKA SHTBDI EX,NEW DELHI,Kalka,New Delhi,Kalka,match,1111111,ok
12006,Kalka-New Delhi Shatabdi,KALKA SHTABDI EX,Kalka,NEW DELHI,Kalka,New Delhi,match,1111111,ok
12008,MYSORE - CHENNAI CENT Shatabdi Express,SHATABDI EXP,MYSORE JN,CHENNAI CENTRAL,,,unknown,1111111,summary_parse_failed
12009,Mumbai-Ahmedabad Shatabdi Express,ADI SHATABDI EXP,Mumbai Central,AHMEDABAD JN,,,unknown,1111111,summary_parse_failed
12010,Ahmedabad-Mumbai Central Shatabdi,MMCT SHATABDI EX,AHMEDABAD JN,Mumbai Central,,,unknown,1111111,summary_parse_failed
12011,Kalka Shatabdi Express,KLK SHATABADI,NEW DELHI,Kalka,New Delhi,Kalka,match,1111111,ok
12012,Kalka-New Delhi Shatabdi,KLK SHATABADI,Kalka,NEW DELHI,Kalka,New Delhi,match,1111111,ok
12013,New Delhi-Amritsar Shatabdi Express,AMRITSAR SHTABDI,NEW DELHI,AMRITSAR JN,New Delhi,Amritsar Jn,match,1111111,ok
12014,Amritsar-NewDelhi Shatabdi,AMRITSAR SHTABDI,AMRITSAR JN,NEW DELHI,Amritsar Jn,New Delhi,match,1111111,ok
12015,New Delhi-Ajmer Shatabdi,AJMER SHATABDI,NEW DELHI,AJMER JN,New Delhi,Daurai (Ajmer),match,1111111,ok
12016,Ajmer-New Delhi Shatabdi,AII NDLS SHATBI,AJMER JN,NEW DELHI,Daurai (Ajmer),New Delhi,match,1111111,ok
12017,New Delhi-Dehradun Shatabdi,DDN SHTBDI EXP,NEW DELHI,DEHRADUN,New Delhi,Dehradun,match,1111111,ok
12018,Dehradun-New Delhi Shatabdi,DDN SHTABADI EXP,DEHRADUN,NEW DELHI,Dehradun,New Delhi,match,1111111,ok
12023,Howrah-Patna Jan Shatabdi,JANSHATABDI EXP,HOWRAH JN,PATNA JN,,,unknown,1111111,summary_parse_failed
12024,Patna-Howrah Jan Shatabdi,JANSHATABDI EXP,PATNA JN,HOWRAH JN,,,unknown,1111111,summary_parse_failed
12025,Pune-Secunderabad Shatabdi Express,SHATABDI EXP,PUNE JN,SECUNDERABAD JN,,,unknown,1111111,summary_parse_failed
12026,Secunderabad-Pune Shatabdi,PUNE SHATABDI,SECUNDERABAD JN,PUNE JN,,,unknown,1111111,summary_parse_failed
12028,BANGALORE CITY - CHENNAI CENT Shatabdi Exp,SHATABDI EXP,BANGALORE CITY JN,CHENNAI CENTRAL,,,unknown,1111111,summary_parse_failed
12029,New Delhi-Amritsar Swarna Shatabdi Express,SWARN SHATABDI,NEW DELHI,AMRITSAR JN,,,unknown,1111111,summary_parse_failed
12031,Amritsar Shatabdi Express,AMRITSAR SHTABDI,NEW DELHI,AMRITSAR JN,New Delhi,Amritsar Jn,match,1000,ok
12032,Amritsar Shatabdi Express,AMRITSAR SHTABDI,AMRITSAR JN,NEW DELHI,Amritsar Jn,New Delhi,match,1000,ok
12033,Kanpur Shatabdi,SHATABDI EXP,KANPUR CENTRAL,NEW DELHI,,,unknown,1111111,summary_parse_failed
12034,New Delhi-Kanpur Shatabdi Express,NDLS CNB SHT,NEW DELHI,KANPUR CENTRAL,,,unknown,1111111,summary_parse_failed
