train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
41505,Chennai Beach Velachery Sunday EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,Chennai Beach Jn,Velachery,match,1,ok
41507,Chennai Beach Velachery Sunday EMU,MSB VLCY LOCAL,CHENNAI BEACH,Velachery,Chennai Beach Jn,Velachery,match,1,ok
42420,Sullurpeta Chennai EMU,,SULLURUPETA,CHENNAI CENTRAL,,,unknown,1111111,summary_parse_failed
42452,Sullupetta Gummidipoondi EMU,,SULLURUPETA,GUMMIDIPUNDI,,,unknown,1111111,summary_parse_failed
43205,Chennai Central Tiruvallur EMU,MASS-TRL EMU LOCAL,CHENNAI CENTRAL,TIRUVALLUR,Mgr Chennai Central Suburban,Tiruvallur,match,1111111,ok
43216,Tiruvallur Chennai Central Fast,TRL-MASS EMU FAST,TIRUVALLUR,CHENNAI CENTRAL,Tiruvallur,Mgr Chennai Central Suburban,match,1111111,ok
43222,Tiruvallur Chennai Central Fast,TRL-MASS EMU FAST,TIRUVALLUR,CHENNAI CENTRAL,Tiruvallur,Mgr Chennai Central Suburban,match,1111111,ok
43401,Chennai Central Arakkonam Fast,MASS-AJJ EMU FAST,CHENNAI CENTRAL,ARAKKONAM,Mgr Chennai Central Suburban,Arakkonam,match,1111111,ok
43408,Arakkonam chennai Central Fast,AJJ-MASS EMU FAST LOCAL,ARAKKONAM,CHENNAI CENTRAL,Arakkonam,Mgr Chennai Central Suburban,match,1111111,ok
43501,Chennai tiruttani EMU,MAS-TRT EMU LOCAL,CHENNAI CENTRAL,TIRUTTANI,Mgr Chennai Central Suburban,Tiruttani,match,1111111,ok
43506,Tiruttani Chennai Central Local,TRT-MASS EMU LOCAL,TIRUTTANI,CHENNAI CENTRAL,Tiruttani,Mgr Chennai Central Suburban,match,1111111,ok
43551,Arakkonam Tiruttani EMU,AJJ-TRT EMU LOCAL,ARAKKONAM,TIRUTTANI,Arakkonam,Tiruttani,match,1111111,ok
43552,Tiruttani Arakkonam EMU,TRT-AJJ EMU LOCAL,TIRUTTANI,ARAKKONAM,Tiruttani,Arakkonam,match,1111111,ok
43553,Arakkonam Tiruttani EMU,AJJ-TRT EMU LOCAL,ARAKKONAM,TIRUTTANI,Arakkonam,Tiruttani,match,1111111,ok
43554,Tiruttani Arakkonam EMU,TRT-AJJ EMU LOCAL,TIRUTTANI,ARAKKONAM,Tiruttani,Arakkonam,match,1111111,ok
43801,Chennai Beach Arakkonam EMU,MSB-AJJ EMU LOCAL,CHENNAI BEACH,ARAKKONAM,Chennai Beach Jn,Arakkonam,match,1111111,ok
43803,Chennai Beach Arakkonam EMU,MSB-AJJ EMU LOCAL,CHENNAI BEACH,ARAKKONAM,Chennai Beach Jn,Arakkonam,match,1111111,ok
43806,Arakkonam chennai Beach Fast,AJJ-MSB FAST LOCAL,ARAKKONAM,CHENNAI BEACH,Arakkonam,Chennai Beach Jn,match,1111111,ok
43823,Chennai Beach Tiruttani Fast,MSB-TRT FAST EMU,CHENNAI BEACH,TIRUTTANI,Chennai Beach Jn,Tiruttani,match,1111111,ok
43851,Ponneri Tiruvallur EMU,PON-TRL EMU LOCAL,PONNERI,TIRUVALLUR,Ponneri,Tiruvallur,match,1111111,ok
43892,Pattabiram East Avadi EMU,E-DEPO - AVD EMU LOCAL,Pattabiram East,AVADI,Pattabiram E Depot,Avadi,match,1111111,ok
